Date,Close_Price,Signal_Date,Call,Stop_Loss,Target_1,Target_2,Target_3,Target_4,Status
2021-01-01,1987.5,2020-12-31,1992.33,2031.68,1967.98,1948.3,1928.63,1900.61,Awaiting Targets
2021-01-12,1957.05,2021-01-12,1929.99,1904.44,1950.05,1964.14,1980.14,1995.66,Awaiting Targets
2021-02-02,1925.8,2021-02-01,1876.92,1826.76,1916.3,1943.97,1975.38,2005.85,Target 1 Reached
2021-01-01,643.1,2020-12-24,625.95,614.0,635.33,641.92,649.41,656.67,Target 3 Reached
2021-01-11,695.65,2021-01-11,701.97,716.41,693.03,685.81,678.59,668.3,Awaiting Targets
2021-01-15,705.9,2021-01-15,709.26,701.49,715.36,719.64,724.5,729.22,Awaiting Targets
2021-01-19,681.1,2021-01-18,685.74,691.37,682.26,679.44,676.63,672.62,Final Target Reached
2021-01-21,666.7,2021-01-21,678.51,665.3,688.89,696.18,704.45,712.48,Awaiting Targets
2021-01-25,651.95,2021-01-22,656.62,664.44,651.78,647.86,643.95,638.38,Final Target Reached
2021-02-01,636.1,2021-02-01,619.61,601.03,634.2,644.45,656.09,667.38,Awaiting Targets
2021-01-01,5280.15,2020-12-31,5318.67,5373.87,5284.52,5256.92,5229.33,5190.03,Target 2 Reached
2021-01-11,4984.25,2021-01-11,5040.36,4958.57,5104.57,5149.67,5200.88,5250.57,Awaiting Targets
2021-01-19,4959.15,2021-01-19,4867.8,4811.11,4912.3,4943.56,4979.06,5013.5,Awaiting Targets
2021-01-25,4908.7,2021-01-25,5002.67,5114.3,4933.61,4877.8,4821.99,4742.52,Awaiting Targets
2021-02-01,5058.6,2021-02-01,4895.02,4797.46,4971.61,5025.41,5086.5,5145.77,Awaiting Targets
2021-01-01,1994.05,2021-01-01,1997.4,2023.36,1981.34,1968.36,1955.38,1936.9,Awaiting Targets
2021-01-08,1970.7,2021-01-08,1966.24,1950.63,1978.5,1987.1,1996.88,2006.36,Awaiting Targets
2021-01-12,1903.45,2021-01-11,1950.11,1957.13,1945.77,1942.26,1938.74,1933.75,Final Target Reached
2021-01-19,1887.0,2021-01-19,1870.08,1842.57,1891.68,1906.85,1924.08,1940.8,Awaiting Targets
2021-02-01,1801.5,2021-02-01,1759.34,1723.73,1787.29,1806.93,1829.23,1850.86,Awaiting Targets
2021-01-01,977.95,2020-12-23,948.86,936.26,958.76,965.71,973.6,981.26,Final Target Reached
2021-01-06,997.15,2021-01-06,1002.63,1008.72,998.86,995.81,992.76,988.42,Awaiting Targets
2021-01-14,1052.6,2021-01-14,1052.65,1068.41,1042.9,1035.02,1027.14,1015.92,Awaiting Targets
2021-01-20,947.7,2021-01-19,942.55,956.47,933.93,926.97,920.01,910.1,Target 1 Reached
2021-01-21,1004.7,2021-01-21,1014.64,998.2,1027.54,1036.6,1046.89,1056.88,Awaiting Targets
2021-01-29,961.4,2021-01-28,981.65,974.96,986.9,990.58,994.77,998.83,Target 3 Reached
